Borough,Arrest Count,Population,Facility Count,"Crime Rate per 100,000","Facility Rate per 100,000",Crime per Facility
Bronx,39957,1472654,9,2713.2646229188936,0.6111415172878355,301.4738469909882
Brooklyn,46825,2736074,19,1711.3937707825155,0.6944256624638077,90.0733563569745
Manhatten,39652,1694251,33,2340.385220371716,1.9477633479336889,70.92076425368836
Queens,36246,2405464,14,1506.8194743301083,0.5820082944496363,107.6299624521506
Staten Island,7415,495747,3,1495.7226165766006,0.6051473836452868,498.5742055255335

